<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
2166411 TX-L 20 D-B SCHWARZ	ACTIVE				TX-L 20 D-B SCHWARZ	
2166414 C 755 S SILBER	ACTIVE				C 755 S SILBER	
2166413 C 755 B SCHWARZ	ACTIVE				C 755 B SCHWARZ	
2166404 TX-RZ 1100 S SILBER	ACTIVE	"Erleben Sie fesselnden objektbasierten Klang

Der TX-RZ1100 ist mit einer THX®-Zertifizierung ausgestattet und genügt höchsten audiophilen Ansprüchen. Endlich können Sie zu Hause Ihr eigenes kompromissloses 5.2.4-Kanal-Klangerlebnis kreieren. Dieser Receiver der Spitzenklasse eignet sich für vier DST:X™- und Dolby Atmos®-Deckenlautsprecher. Seine kraftvolle Leistung treibt die vorderen und hinteren Standlautsprecher mit atemberaubender Dynamik an. Der TX-RZ1100 basiert auf dem Hochstrom-Verstärkersystem von Onkyo und sorgt durch fortschrittliche Verstärkertechnologie für einen rundum spektakulären Klang. Darüber hinaus können Musikstreams von gängigen Apps via AirPlay®, Wi-Fi® und Chromecast built-in auf den Receiver übertragen und beliebige Audioquellen über Drahtloslautsprecher im ganzen Haus wiedergegeben werden (einschließlich Audio- und 4K-Videowiedergabe)"	"<header>Erleben Sie fesselnden objektbasierten Klang</header>

<body>Der TX-RZ1100 ist mit einer THX®-Zertifizierung ausgestattet und genügt höchsten audiophilen Ansprüchen. Endlich können Sie zu Hause Ihr eigenes kompromissloses 5.2.4-Kanal-Klangerlebnis kreieren. Dieser Receiver der Spitzenklasse eignet sich für vier DST:X™- und Dolby Atmos®-Deckenlautsprecher. Seine kraftvolle Leistung treibt die vorderen und hinteren Standlautsprecher mit atemberaubender Dynamik an. Der TX-RZ1100 basiert auf dem Hochstrom-Verstärkersystem von Onkyo und sorgt durch fortschrittliche Verstärkertechnologie für einen rundum spektakulären Klang. Darüber hinaus können Musikstreams von gängigen Apps via AirPlay®, Wi-Fi® und Chromecast built-in auf den Receiver übertragen und beliebige Audioquellen über Drahtloslautsprecher im ganzen Haus wiedergegeben werden (einschließlich Audio- und 4K-Videowiedergabe)</body>"		9.2-Kanal-Netzwerk-AV-Receiver, 200 Watt/Kanal, THX, DTS:X, Dolby Atmos, Chromecast/AirPlay/WiFi/Bluetooth/Streamingdienste, 8 HDMI Eingänge, HDCP2.2/HDR/4K, Zone 2 HDMI Ausgang, drahtloses Multiroom mit FireConnect	
2166394 TX-RZ 3100 B SCHWARZ	ACTIVE	"Mehrdimensionaler Klang ohne Kompromisse

Seine unerschöpflichen Kraftreserven und überraschende Dynamik machen diesen Receiver zum Mittelpunkt Ihres 7.2.4-Kanal-Heimkinosystems mit Standlautsprechern, zwei Subwoofern und eingebauten Deckenlautsprechern. Dank präziser, satter und vielseitiger Klangqualität können Zuhörer unmittelbar in Filmwelten eintauchen. Der TX-RZ3100 wird Ihr Film- und Stereo-Klangerlebnis revolutionieren. Genießen Sie nahtlose Unterhaltung im ganzen Haus dank zahlreicher Funktionen wie die kabelgestützte oder drahtlose digitale/analoge Audiowiedergabe in mehreren Räumen, Zone-2-HDMI® für UltraHD-Streaming sowie mehrere Technologien zur Übertragung App-basierter Audioinhalte an Ihre Heimkinoanlage. Der TX-RZ3100 wurde mit Hingabe entwickelt und lässt sich problemlos in Ihr bestehendes Heimkinosystem integrieren."	"<header>Mehrdimensionaler Klang ohne Kompromisse</header>

<body>Seine unerschöpflichen Kraftreserven und überraschende Dynamik machen diesen Receiver zum Mittelpunkt Ihres 7.2.4-Kanal-Heimkinosystems mit Standlautsprechern, zwei Subwoofern und eingebauten Deckenlautsprechern. Dank präziser, satter und vielseitiger Klangqualität können Zuhörer unmittelbar in Filmwelten eintauchen. Der TX-RZ3100 wird Ihr Film- und Stereo-Klangerlebnis revolutionieren. Genießen Sie nahtlose Unterhaltung im ganzen Haus dank zahlreicher Funktionen wie die kabelgestützte oder drahtlose digitale/analoge Audiowiedergabe in mehreren Räumen, Zone-2-HDMI® für UltraHD-Streaming sowie mehrere Technologien zur Übertragung App-basierter Audioinhalte an Ihre Heimkinoanlage. Der TX-RZ3100 wurde mit Hingabe entwickelt und lässt sich problemlos in Ihr bestehendes Heimkinosystem integrieren.</body>"		11.2-Kanal-Netzwerk-AV-Receiver, 200 Watt/Kanal, THX, DTS:X, Dolby Atmos, Chromecast/AirPlay/WiFi/Bluetooth/Streamingdienste, 8 HDMI Eingänge, HDCP2.2/HDR/4K, Zone 2 HDMI Ausgang, drahtloses Multiroom mit FireConnect	
2166412 TX-L 20 D-W WEISS	ACTIVE				TX-L 20 D-W WEISS	
2168421 VSX-S 520-B	ACTIVE	"5.1-Kanal-A/V-Receiver im Slimline-Format mit 4K-Video-PassThrough, zusätzlicher Endstufe für Passiv-Woofer, MCACC-Einmesssystem und Streaming-Vollausstattung

Geht hochwertiges Heimkino auch wohnzimmerfreundlich? Mit den neuen Slimline-Receivern von Pioneer auf jeden Fall! Der VSX-S 520 bietet reichlich Mehrkanal-Leistung, Decoder für alle modernen Kinoton-Formate und eine voll ausgestattete Streamingabteilung, die separate Musik-Zuspieler überflüssig macht. Streamen Sie Musik über Spotify, hören Sie Internetradio oder HiRes-Musik von Ihrem NAS-Server und lassen Sie Ihre Smartphone-Apps über die Anlage laufen. 

Superflacher AV-Receiver mit praller Feature-Liste

Moderne Mehrkanal-Boxensets müssen nicht groß sein. Schon sehr dezente, kompakte 5.1-Systeme schaffen im Wohnzimmer mühelos eine packende Kinoatmosphäre, wie sie Soundbars und erst recht die TV-Lautsprecher einfach nicht hinbekommen. Dazu passend sollte aber auch der AV-Receiver möglichst flach, zugleich aber hochwertig sein – genau diese Rolle spielt der VSX-S 520 perfekt. Mit seinem nur 65mm hohen Gehäuse passte er exakt zu aktuellen Blu-ray-Spielern wie dem BDP-X 300, und dank drei unterschiedlicher Farben lässt er sich stimmig mit jedem TV-Modell und jedem Einrichtungsstil kombinieren. Class-D-Endstufen aus Pioneer-eigener Entwicklung garantieren trotz der flachen Bauform ein sattes Leistungsangebot mit sechs Kanälen à 80 Watt – genug, um auch anspruchsvolle Lautsprecher adäquat anzutreiben. Damit von deren Klang auch in problematischen Räumen möglichst viel erhalten bleibt, korrigiert das automatische Einmess-System MCACC Akustikprobleme zielsicher und wirksam. Und weil der VSX-S 520 am besten aussieht, wenn möglichst wenig weitere Geräte um ihn herumstehen, hat Pioneer die Musikquellen einfach eingebaut: HiRes-DLNA-Streaming, Internetradio, die Abodienste Spotify, Tidal und Deezer sowie AirPlay und Bluetooth sorgen dafür, dass diesem dezent gestylten Entertainment-Profi nie das Material ausgeht."	"<header>5.1-Kanal-A/V-Receiver im Slimline-Format mit 4K-Video-PassThrough, zusätzlicher Endstufe für Passiv-Woofer, MCACC-Einmesssystem und Streaming-Vollausstattung</header>

<body>Geht hochwertiges Heimkino auch wohnzimmerfreundlich? Mit den neuen Slimline-Receivern von Pioneer auf jeden Fall! Der VSX-S 520 bietet reichlich Mehrkanal-Leistung, Decoder für alle modernen Kinoton-Formate und eine voll ausgestattete Streamingabteilung, die separate Musik-Zuspieler überflüssig macht. Streamen Sie Musik über Spotify, hören Sie Internetradio oder HiRes-Musik von Ihrem NAS-Server und lassen Sie Ihre Smartphone-Apps über die Anlage laufen. </body>

<header>Superflacher AV-Receiver mit praller Feature-Liste</header>

<body>Moderne Mehrkanal-Boxensets müssen nicht groß sein. Schon sehr dezente, kompakte 5.1-Systeme schaffen im Wohnzimmer mühelos eine packende Kinoatmosphäre, wie sie Soundbars und erst recht die TV-Lautsprecher einfach nicht hinbekommen. Dazu passend sollte aber auch der AV-Receiver möglichst flach, zugleich aber hochwertig sein – genau diese Rolle spielt der VSX-S 520 perfekt. Mit seinem nur 65mm hohen Gehäuse passte er exakt zu aktuellen Blu-ray-Spielern wie dem BDP-X 300, und dank drei unterschiedlicher Farben lässt er sich stimmig mit jedem TV-Modell und jedem Einrichtungsstil kombinieren. Class-D-Endstufen aus Pioneer-eigener Entwicklung garantieren trotz der flachen Bauform ein sattes Leistungsangebot mit sechs Kanälen à 80 Watt – genug, um auch anspruchsvolle Lautsprecher adäquat anzutreiben. Damit von deren Klang auch in problematischen Räumen möglichst viel erhalten bleibt, korrigiert das automatische Einmess-System MCACC Akustikprobleme zielsicher und wirksam. Und weil der VSX-S 520 am besten aussieht, wenn möglichst wenig weitere Geräte um ihn herumstehen, hat Pioneer die Musikquellen einfach eingebaut: HiRes-DLNA-Streaming, Internetradio, die Abodienste Spotify, Tidal und Deezer sowie AirPlay und Bluetooth sorgen dafür, dass diesem dezent gestylten Entertainment-Profi nie das Material ausgeht.</body>"		VSX-S 520-B	
2168426 SC-LX 901-B	ACTIVE	"11.2-Kanal Mehrkanal-Receiver mit Class-D-Verstärker, Air Studios-Zertifizierung, 4K UltraHD Upscaling/Pass Through, Dolby Atmos, DTS:X und HiRes-Streaming-Vollausstattung.

Der SC-LX 901 ist der beste AV-Receiver in der Pioneer-Firmengeschichte. 11 Endstufen in nochmals verbesserter Direct-Energy-HD-Bauweise füllen auch ambitionierteste Heimkinos und voll ausgebaute 3D-Lautsprechersets mit klarem, kraftvollem Klang. Die neue Streaming-Architektur mit integrierten Lossless-Musikdiensten, HiRes-Unterstützung und Dualband-WiFi holt Musik in bester Qualität heran – ob vom NAS, aus dem Internet oder vom Smartphone.

Die Klang- und Ausstattungsreferenz – in den Air Studios und in Ihrem Wohnzimmer

Der SC-LX 901 ist ein AV-Receiver, der selbst professionelle Qualitätsansprüche mühelos erfüllt – Ehrensache, dass er nach strengen Hörtests und penibler Feinabstimmung das „Monitor“-Zertifikat der Londoner Air Studios erhielt. Für objektorientierten Kinoton in maximaler Ausbaustufe hält der SC-LX 901 gleich 11 Endstufen bereit, die dank hoch effizienter Direct-Energy-HD-Bauweise schweißtreibende Kino- oder Konzertabende ermöglichen, selbst aber angenehm cool bleiben. Der Receiver ist uneingeschränkt UltraHD-fähig und unterstützt bereits die zukünftigen Farbraum- und Bilddynamikerweiterungen HDR und BT.2020. Standard-HD-Material wandelt er mit dem Pioneer-eigenen Super-Resolution-Scaling nicht nur irgendwie, sondern wirklich überzeugend in 4K-Bilder. Keinen Vergleich scheuen muss auch die neue Streaming-Ausstattung, der kein Übertragungsstandard fremd ist: Bluetooth und Dualband-WiFi sind integriert, mit Tidal, Spotify und Deezer gewähren die drei besten Streamingdienste direkt über den SC-LX 901 Zugriff auf ihre -zig Millionen Titel großen Musikarchive – entsprechendes Abo vorausgesetzt. Von lokalen Medienservern spielt der SC-LX 901 HiRes-Material bis 24bit/192kHz und Quad-rate-DSD (11.2MHz), und Tablet-Nutzer freuen sich, dass ihre Apps mit Google Cast und Airplay in jeder Situation den richtigen Weg zur Anlage finden. Nach kostenlosem Update auf den Marken-übergreifenden, leistungsfähigen Multiroom-Standard Fire Connect kann die Musik aller am SC-LX 901 angeschlossenen Quellen auch ein ganzes Netz weiterer Räume erreichen und auf Wunsch im ganzen Haus perfekt synchron spielen."	"<header>11.2-Kanal Mehrkanal-Receiver mit Class-D-Verstärker, Air Studios-Zertifizierung, 4K UltraHD Upscaling/Pass Through, Dolby Atmos, DTS:X und HiRes-Streaming-Vollausstattung.</header>

<body>Der SC-LX 901 ist der beste AV-Receiver in der Pioneer-Firmengeschichte. 11 Endstufen in nochmals verbesserter Direct-Energy-HD-Bauweise füllen auch ambitionierteste Heimkinos und voll ausgebaute 3D-Lautsprechersets mit klarem, kraftvollem Klang. Die neue Streaming-Architektur mit integrierten Lossless-Musikdiensten, HiRes-Unterstützung und Dualband-WiFi holt Musik in bester Qualität heran – ob vom NAS, aus dem Internet oder vom Smartphone.</body>

<header>Die Klang- und Ausstattungsreferenz – in den Air Studios und in Ihrem Wohnzimmer</header>

<body>Der SC-LX 901 ist ein AV-Receiver, der selbst professionelle Qualitätsansprüche mühelos erfüllt – Ehrensache, dass er nach strengen Hörtests und penibler Feinabstimmung das „Monitor“-Zertifikat der Londoner Air Studios erhielt. Für objektorientierten Kinoton in maximaler Ausbaustufe hält der SC-LX 901 gleich 11 Endstufen bereit, die dank hoch effizienter Direct-Energy-HD-Bauweise schweißtreibende Kino- oder Konzertabende ermöglichen, selbst aber angenehm cool bleiben. Der Receiver ist uneingeschränkt UltraHD-fähig und unterstützt bereits die zukünftigen Farbraum- und Bilddynamikerweiterungen HDR und BT.2020. Standard-HD-Material wandelt er mit dem Pioneer-eigenen Super-Resolution-Scaling nicht nur irgendwie, sondern wirklich überzeugend in 4K-Bilder. Keinen Vergleich scheuen muss auch die neue Streaming-Ausstattung, der kein Übertragungsstandard fremd ist: Bluetooth und Dualband-WiFi sind integriert, mit Tidal, Spotify und Deezer gewähren die drei besten Streamingdienste direkt über den SC-LX 901 Zugriff auf ihre -zig Millionen Titel großen Musikarchive – entsprechendes Abo vorausgesetzt. Von lokalen Medienservern spielt der SC-LX 901 HiRes-Material bis 24bit/192kHz und Quad-rate-DSD (11.2MHz), und Tablet-Nutzer freuen sich, dass ihre Apps mit Google Cast und Airplay in jeder Situation den richtigen Weg zur Anlage finden. Nach kostenlosem Update auf den Marken-übergreifenden, leistungsfähigen Multiroom-Standard Fire Connect kann die Musik aller am SC-LX 901 angeschlossenen Quellen auch ein ganzes Netz weiterer Räume erreichen und auf Wunsch im ganzen Haus perfekt synchron spielen.</body>"		SC-LX 901-B	
2168381 SX-S 30 D-S	ACTIVE	"Hightech-Breitseite im Slimline-Format für Stereo-Puristen
Mit dem SX-S30DAB halten alle modernen Medien und Komfort-Features Einzug in Ihre Stereoanlage: Streamen Sie Musik in CD-Qualität von einem der integrierten Internet-Musikdienste Tidal, Spotify und Deezer (Abo erforderlich), hören Sie HiRes-Downloads über den DLNA-Netzwerkplayer, entdecken Sie die riesige Senderauswahl des TuneIn-Webradios oder schicken Sie Musik vom Smartphone an die Anlage. Dafür können Sie wahlweise Bluetooth, AirPlay sowie nach einem kostenlosen Update Google Cast verwenden – der SX-S30DAB richtet sich ganz nach Ihren Vorlieben und braucht dank eingebautem, leistungsfähigem DualBand-WiFi nicht mal ein eigenes Netzwerkkabel. Auch aus dem Ton vom Fernseher, Sat-Receiver oder Blu-ray-Player holt der SX-S30DAB das Beste heraus: Er empfängt mit seinen vier HDMI-Inputs alle Filmton-Formate und berechnet daraus einen für Ihre Boxen maßgeschneiderten Stereo-Downmix – auf Wunsch natürlich mit Subwoofer-Signal und individueller Raumkorrektur durch das mikrofongestützte Einmess-System MCACC. Und falls Sie irgendwann einen UltraHD-Player anschaffen sollten, bildet der SX-S30DAB mit voller 4K- und HDR-Fähigkeit auch dann ein optimales Bindeglied zwischen Player und Fernseher. Neben dem digitalen Hightech haben die Pioneer-Ingenieure beim SX-S30DAB aber auch die klassischen Verstärkertugenden nicht vergessen: Seine Class-D-Endstufen sind mit 80 Watt pro Kanal stark genug für anspruchsvolle Boxen, und wer den nostalgischen Klang von Vinylplatten nicht missen will, findet an dem Receiver einen Phonoeingang. Nach dem nächsten Update kann der SX-S30DAB den LP-Sound oder beliebige andere Quellen sogar im ganzen Haus verteilen. Möglich macht das Fire Connect, ein neuer, leistungsfähiger Multiroom-Standard mit einer ständig wachsenden Familie kompatibler Geräte."	"<header>Hightech-Breitseite im Slimline-Format für Stereo-Puristen</header>
<body>Mit dem SX-S30DAB halten alle modernen Medien und Komfort-Features Einzug in Ihre Stereoanlage: Streamen Sie Musik in CD-Qualität von einem der integrierten Internet-Musikdienste Tidal, Spotify und Deezer (Abo erforderlich), hören Sie HiRes-Downloads über den DLNA-Netzwerkplayer, entdecken Sie die riesige Senderauswahl des TuneIn-Webradios oder schicken Sie Musik vom Smartphone an die Anlage. Dafür können Sie wahlweise Bluetooth, AirPlay sowie nach einem kostenlosen Update Google Cast verwenden – der SX-S30DAB richtet sich ganz nach Ihren Vorlieben und braucht dank eingebautem, leistungsfähigem DualBand-WiFi nicht mal ein eigenes Netzwerkkabel. Auch aus dem Ton vom Fernseher, Sat-Receiver oder Blu-ray-Player holt der SX-S30DAB das Beste heraus: Er empfängt mit seinen vier HDMI-Inputs alle Filmton-Formate und berechnet daraus einen für Ihre Boxen maßgeschneiderten Stereo-Downmix – auf Wunsch natürlich mit Subwoofer-Signal und individueller Raumkorrektur durch das mikrofongestützte Einmess-System MCACC. Und falls Sie irgendwann einen UltraHD-Player anschaffen sollten, bildet der SX-S30DAB mit voller 4K- und HDR-Fähigkeit auch dann ein optimales Bindeglied zwischen Player und Fernseher. Neben dem digitalen Hightech haben die Pioneer-Ingenieure beim SX-S30DAB aber auch die klassischen Verstärkertugenden nicht vergessen: Seine Class-D-Endstufen sind mit 80 Watt pro Kanal stark genug für anspruchsvolle Boxen, und wer den nostalgischen Klang von Vinylplatten nicht missen will, findet an dem Receiver einen Phonoeingang. Nach dem nächsten Update kann der SX-S30DAB den LP-Sound oder beliebige andere Quellen sogar im ganzen Haus verteilen. Möglich macht das Fire Connect, ein neuer, leistungsfähiger Multiroom-Standard mit einer ständig wachsenden Familie kompatibler Geräte.</body>"		SX-S 30 D-S	
2168387 NC 50 DAB-S	ACTIVE	"All-In-One-HiFi-System mit Class-D-Endstufen, CD-Player und voll ausgestatteter Streaming-Einheit.

Bluetooth oder Airplay, Abo-Streamingdienst oder Internetradio, HiRes-Download oder einfach eine CD: Der NC-50 DAB kombiniert die ganze Vielfalt digitaler Musikwiedergabe mit einem universellen Vollverstärker und zusätzlichen Analog- und Digitaleingängen – in einem einzigen Gehäuse im klassischen HiFi-Format. 

Alles, was eine moderne HiFi-Anlage braucht – und freie Wahl bei den Boxen!

Als noch Plattenspieler, UKW-Radios und Kassettendecks die HiFi-Welt beherrschten, waren gute Musikanlagen zwangsweise groß, teuer und kompliziert. Mit dem NC-50 DAB ernten Sie die Früchte der digitalen Revolution – und gewinnen jede Menge Platz in Ihrem Wohnzimer zurück. In einem eleganten Gehäuse im klassischen HiFi-Format finden Sie hier alles vereint, was Sie heute für eine anspruchsvolle Anlage brauchen: CD-Spieler, Netzwerkplayer, Digital- und Internetradio, hochwertige Musik-Abodienste und alle aktuellen Streaming-Standards für Ihr Smartphone oder Tablet. Alle digitalen Quellen – ob integriert oder über einen der Digitaleingänge angeschlossen – nutzen den audiophilen DAC des N-50 DAB, einen SABRE32 von ESS. Auch die eingebaute Verstärkertechnik ist hochmodern: Pioneers eigene Direct-Energy-HD-Endstufen bringen transparenten, natürlichen Klang und Leistungsreserven, die in konventioneller Technik bereits das gesamte Gehäusevolumen benötigt hätten. Die kraftvollen Endstufen erleichtern die einzige Entscheidung, die man beim NC-50 DAB noch selbst treffen muss: Kombinieren Sie ihn einfach mit den Lautsprechern, die zu Ihrem Hör- und Einrichtungsgeschmack optimal passen. Sie bekommen auf jeden Fall eine Anlage, die ein Maximum an Qualität und Programmvielfalt auf dem Raum einer einzigen HiFi-Komponente konzentriert. Und wenn Sie doch einmal nostalgisch werden, hindert Sie niemand daran, einen Plattenspieler anzuschließen. Denn wir haben bei aller digitalen Vielfalt sogar an analoge Inputs und sogar einen Phonoeingang gedacht."	"<header>All-In-One-HiFi-System mit Class-D-Endstufen, CD-Player und voll ausgestatteter Streaming-Einheit.</header>

<body>Bluetooth oder Airplay, Abo-Streamingdienst oder Internetradio, HiRes-Download oder einfach eine CD: Der NC-50 DAB kombiniert die ganze Vielfalt digitaler Musikwiedergabe mit einem universellen Vollverstärker und zusätzlichen Analog- und Digitaleingängen – in einem einzigen Gehäuse im klassischen HiFi-Format. </body>

<header>Alles, was eine moderne HiFi-Anlage braucht – und freie Wahl bei den Boxen!</header>

<body>Als noch Plattenspieler, UKW-Radios und Kassettendecks die HiFi-Welt beherrschten, waren gute Musikanlagen zwangsweise groß, teuer und kompliziert. Mit dem NC-50 DAB ernten Sie die Früchte der digitalen Revolution – und gewinnen jede Menge Platz in Ihrem Wohnzimer zurück. In einem eleganten Gehäuse im klassischen HiFi-Format finden Sie hier alles vereint, was Sie heute für eine anspruchsvolle Anlage brauchen: CD-Spieler, Netzwerkplayer, Digital- und Internetradio, hochwertige Musik-Abodienste und alle aktuellen Streaming-Standards für Ihr Smartphone oder Tablet. Alle digitalen Quellen – ob integriert oder über einen der Digitaleingänge angeschlossen – nutzen den audiophilen DAC des N-50 DAB, einen SABRE32 von ESS. Auch die eingebaute Verstärkertechnik ist hochmodern: Pioneers eigene Direct-Energy-HD-Endstufen bringen transparenten, natürlichen Klang und Leistungsreserven, die in konventioneller Technik bereits das gesamte Gehäusevolumen benötigt hätten. Die kraftvollen Endstufen erleichtern die einzige Entscheidung, die man beim NC-50 DAB noch selbst treffen muss: Kombinieren Sie ihn einfach mit den Lautsprechern, die zu Ihrem Hör- und Einrichtungsgeschmack optimal passen. Sie bekommen auf jeden Fall eine Anlage, die ein Maximum an Qualität und Programmvielfalt auf dem Raum einer einzigen HiFi-Komponente konzentriert. Und wenn Sie doch einmal nostalgisch werden, hindert Sie niemand daran, einen Plattenspieler anzuschließen. Denn wir haben bei aller digitalen Vielfalt sogar an analoge Inputs und sogar einen Phonoeingang gedacht.</body>"		NC-50 DAB-S	
2168429 SC-LX 701-B	ACTIVE	"9.2-Kanal Mehrkanal-Receiver mit Class-D-Verstärker, 4K UltraHD Upscaling/Pass Through, Dolby Atmos, DTS:X und HiRes-Streaming-Vollausstattung

Neun Verstärkerkanäle in Direct-Energy-HD-Technik machen jedes Wohnzimmer zum Kinosaal, Dolby Atmos und dts:X in optimaler Umsetzung inclusive. Das Pioneer-Einmess-System MCACC Pro optimiert den Klang, „Super Resolution“-Videoscaling das Bild – letzteres eine Leihgabe aus Pioneers Top-Blu-ray-Playern. Der integrierte Streamer versteht alle Formate, kann von Bluetooth bis HiRes alle Standards und ersetzt dank hochwertigem ESS-DAC einen externen Player.

Geballte Heimkino-Kompetenz, neueste Streamingtechnik, superber Klang

Dass AV-Receiver meist nur mittelprächtige Stereoverstärker abgeben, ist eine Binsenweisheit – die nicht immer stimmt. So kann der Pioneer SC-LX 701 zwar auf bis zu neun Kanälen mühelos die gröbsten Dynamik-Gemeinheiten moderner Kino-Tonspuren umsetzen, verwandelt sich aber mit Musik in einen kultivierten, natürlich klingenden HiFi-Amp. Denn für die Pioneer-eigene Direct-Power-HD-Endstufentechnik mit ihren ultrakurzen Signalwegen bedeuten Power und Feingeist keinen Widerspruch. Audiophile Qualitäten zeichnen auch den für alle Kanäle verwendeten SABRE32-D/A-Wandler aus dem Hause ESS aus. Wer dessen gewaltige Dynamik und hohe Linearität richtig fordern will, kann neben mehrkanaligem Edel-Filmton (Dolby Atmos, dts:X) auch mit wenigen Tipps auf der Steuer-App zu super-hochauflösenden Studiomaster-Musikfiles greifen, denn der SC-LX 701 bringt einen vollwertigen, opulent ausgestatteten Streamer mit, der von lokalen NAS-Servern auch HiRes mit 24bit/192kHz und Quad-rate DSD (11.2MHz) wiedergibt. Immerhin volle CD-Auflösung versprechen die integrierten Musikdienste Tidal und Deezer, die wie das ebenfalls vorhandene Spotify ihren Abonnenten vollen Zugriff auf über 20 Millionen Titel bieten. Für den Alltagskomfort und das beruhigende Gefühl, immer den richtigen Standard bieten zu können, stehen zudem Bluetooth, Dualband-WiFi und Airplay zur Verfügung – nach einem kostenlosen Update ergänzt um Google Cast und den leistungsfähigen, Marken-übergreifenden Multiroom-Standard FireConnect."	"<header>9.2-Kanal Mehrkanal-Receiver mit Class-D-Verstärker, 4K UltraHD Upscaling/Pass Through, Dolby Atmos, DTS:X und HiRes-Streaming-Vollausstattung</header>

<body>Neun Verstärkerkanäle in Direct-Energy-HD-Technik machen jedes Wohnzimmer zum Kinosaal, Dolby Atmos und dts:X in optimaler Umsetzung inclusive. Das Pioneer-Einmess-System MCACC Pro optimiert den Klang, „Super Resolution“-Videoscaling das Bild – letzteres eine Leihgabe aus Pioneers Top-Blu-ray-Playern. Der integrierte Streamer versteht alle Formate, kann von Bluetooth bis HiRes alle Standards und ersetzt dank hochwertigem ESS-DAC einen externen Player.</body>

<header>Geballte Heimkino-Kompetenz, neueste Streamingtechnik, superber Klang</header>

<body>Dass AV-Receiver meist nur mittelprächtige Stereoverstärker abgeben, ist eine Binsenweisheit – die nicht immer stimmt. So kann der Pioneer SC-LX 701 zwar auf bis zu neun Kanälen mühelos die gröbsten Dynamik-Gemeinheiten moderner Kino-Tonspuren umsetzen, verwandelt sich aber mit Musik in einen kultivierten, natürlich klingenden HiFi-Amp. Denn für die Pioneer-eigene Direct-Power-HD-Endstufentechnik mit ihren ultrakurzen Signalwegen bedeuten Power und Feingeist keinen Widerspruch. Audiophile Qualitäten zeichnen auch den für alle Kanäle verwendeten SABRE32-D/A-Wandler aus dem Hause ESS aus. Wer dessen gewaltige Dynamik und hohe Linearität richtig fordern will, kann neben mehrkanaligem Edel-Filmton (Dolby Atmos, dts:X) auch mit wenigen Tipps auf der Steuer-App zu super-hochauflösenden Studiomaster-Musikfiles greifen, denn der SC-LX 701 bringt einen vollwertigen, opulent ausgestatteten Streamer mit, der von lokalen NAS-Servern auch HiRes mit 24bit/192kHz und Quad-rate DSD (11.2MHz) wiedergibt. Immerhin volle CD-Auflösung versprechen die integrierten Musikdienste Tidal und Deezer, die wie das ebenfalls vorhandene Spotify ihren Abonnenten vollen Zugriff auf über 20 Millionen Titel bieten. Für den Alltagskomfort und das beruhigende Gefühl, immer den richtigen Standard bieten zu können, stehen zudem Bluetooth, Dualband-WiFi und Airplay zur Verfügung – nach einem kostenlosen Update ergänzt um Google Cast und den leistungsfähigen, Marken-übergreifenden Multiroom-Standard FireConnect.</body>"		SC-LX 701-B	
