<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1926697 VXE 7020	1172;331	ACTIVE	Hoher Bedienkomfort und tadellose Übersicht ist mit dem VXE 7020 NAV Navigations- und Multimedia-Receiver garantiert. Als zentrales Element dient der 6,2 Zoll Digital-TFT-Monitor mit LCD-Touchscreen und LED-Backlight, der unabhängig der herrschenden Lichtverhältnisse eine exzellente Darstellung liefert. Das 3D-High-Definition Navigationssystem iGo Primo 2.4 ist mit Kartenmaterial für 44 europäische Länder und 7 Millionen POIs (Points of Interest) ausgestattet. Die dreidimensionale Ansicht zahlreicher Gebäude und Wahrzeichen hilft bei der Orientierung. Natürlich werden auch Verkehrsbehinderungen über den Traffic Message Channel berücksichtigt. Dank der „Latest Map Garantie“ und dem damit einhergehenden kostenlosen Kartenupdate innerhalb von 30 Tagen nach erstem GPS-Empfang ist man sofort mit aktuellstem Material für die nächste Fahrt gerüstet. Damit auch beim Telefonieren kein Sicherheitsrisiko entsteht, ist der Navigations- und Multimedia-Receiver mit einer Bluetooth-Freisprecheinrichtung mit externem Mikrofon ausgestattet. Das A2DP/AVRCP-Protokoll sorgt dafür, dass man mit dem Smartphone auch drahtlos Musik an das Audiovox-Gerät streamen kann. Audiosignale werden aber natürlich auch vom USB-Stick oder einem via USB angeschlossenen iPod/iPhone entgegen genommen und wiedergegeben, der Front Media Eingang ist mit 1.0 Ampere sogar ein praktisches Ladegerät. Individualisieren kann man das 160 Watt starke Gerät sowohl visuell mit 5 verschiedenen Hintergrundbildern und 11 RGB-Lichteinstellungen als auch akustisch mit einem umfangreichen 10-Band-Equalizer mit 6 voreingestellten und einer benutzerdefinierten Equalizerkurve.	<body>Hoher Bedienkomfort und tadellose Übersicht ist mit dem VXE 7020 NAV Navigations- und Multimedia-Receiver garantiert. Als zentrales Element dient der 6,2 Zoll Digital-TFT-Monitor mit LCD-Touchscreen und LED-Backlight, der unabhängig der herrschenden Lichtverhältnisse eine exzellente Darstellung liefert. Das 3D-High-Definition Navigationssystem iGo Primo 2.4 ist mit Kartenmaterial für 44 europäische Länder und 7 Millionen POIs (Points of Interest) ausgestattet. Die dreidimensionale Ansicht zahlreicher Gebäude und Wahrzeichen hilft bei der Orientierung. Natürlich werden auch Verkehrsbehinderungen über den Traffic Message Channel berücksichtigt. Dank der „Latest Map Garantie“ und dem damit einhergehenden kostenlosen Kartenupdate innerhalb von 30 Tagen nach erstem GPS-Empfang ist man sofort mit aktuellstem Material für die nächste Fahrt gerüstet. Damit auch beim Telefonieren kein Sicherheitsrisiko entsteht, ist der Navigations- und Multimedia-Receiver mit einer Bluetooth-Freisprecheinrichtung mit externem Mikrofon ausgestattet. Das A2DP/AVRCP-Protokoll sorgt dafür, dass man mit dem Smartphone auch drahtlos Musik an das Audiovox-Gerät streamen kann. Audiosignale werden aber natürlich auch vom USB-Stick oder einem via USB angeschlossenen iPod/iPhone entgegen genommen und wiedergegeben, der Front Media Eingang ist mit 1.0 Ampere sogar ein praktisches Ladegerät. Individualisieren kann man das 160 Watt starke Gerät sowohl visuell mit 5 verschiedenen Hintergrundbildern und 11 RGB-Lichteinstellungen als auch akustisch mit einem umfangreichen 10-Band-Equalizer mit 6 voreingestellten und einer benutzerdefinierten Equalizerkurve.</body>		6,2“ Widescreen Navigation-/Multimedia-Receiver 	
1932761 KMM 264	331;1172	ACTIVE				KMM 264	
1946756 KD-X 220 E	331;1172	ACTIVE				Digital Media Receiver mit Front USB und AUX	
1946758 KD-R 561 E	331;1172	ACTIVE	USB/CD-Receiver mit Front-AUX-Eingang			USB/CD-Receiver mit Front-AUX-Eingang	
1946759 KD-R 761 E	331;1172	ACTIVE	USB/CD-Receiver mit Front-AUX-Eingang			USB/CD-Receiver mit Front-AUX-Eingang	
1946760 KW-V 41 BTE	331;1172	ACTIVE	DVD/CD/USB-Moniceiver mit integrierter Bluetooth®-Technologie; 17,7 cm 16:9-Touch-Panel mit WVGA-Auflösung			DVD/CD/USB-Moniceiver mit integrierter Bluetooth®-Technologie; 17,7 cm 16:9-Touch-Panel mit WVGA-Auflösung	
1947596 CDX-G 1101 U - AMBER	331;1172	ACTIVE	Ideal für den Einstieg in die Sony Car Entertainment Welt: das CDX-G1101U Autoradio mit CD-Player, USB- und AUX-Eingang zum Anschluss von vielfältigen Musikquellen wie Android Smartphones,Sony Walkman, USB-Sticks und anderen Quellen. Darüber hinaus bietet es satten und klaren Klang dank 4 x 55W Ausgangsleistung und Digital Clarity Tuner. Mehr Bass mit einem einzigen Knopfdruck dank MEGA BASS. Zusätzlich kann das Bedienelement des Radios abgenommen werden und sicher verwahrt werden.			Einstiegs-Autoradio mit CD-Player, USB und Aux-Eingang.	
1947598 CDX-G 1102 U - GRÜN	331;1172	ACTIVE		Ideal für den Einstieg in die Sony Car Entertainment Welt: das CDX-G1102U Autoradio mit CD-Player, USB- und AUX-Eingang zum Anschluss von vielfältigen Musikquellen wie Android Smartphones,Sony Walkman, USB-Sticks und anderen Quellen. Darüber hinaus bietet es satten und klaren Klang dank 4 x 55W Ausgangsleistung und Digital Clarity Tuner. Mehr Bass mit einem einzigen Knopfdruck dank MEGA BASS. Zusätzlich kann das Bedienelement des Radios abgenommen werden und sicher verwahrt werden.		Einstiegs-Autoradio mit CD-Player, USB und Aux-Eingang.	
1947600 CDX-G 3100 UV	331;1172	ACTIVE	Ideal für den Einstieg in die Sony Car Entertainment Welt: das CDX-G3100UV Autoradio mit CD-Player, USB- und AUX-Eingang zum Anschluss von vielfältigen Musikquellen wie Smartphones, USB-Sticks. Das CDX-3100UV bietet ebenso die Möglichkeit Musik auf iPod und iPhone anzusteuern dank iPod Control Funktion. Darüber hinaus bietet es satten und klaren Klang dank 4 x 55W Ausgangsleistung und Digital Clarity Tuner. Mehr Bass mit einem einzigen Knopfdruck dank MEGA BASS. Zusätzlich kann das Bedienelement des Radios abgenommen werden und sicher verwart werden. Die Tastenbeleuchtung kann individuell eingestellt werden dank 35.000 möglichen Farben.			Autoradio mit CD-Player, USB & Aux-Eingang, Musik Playback for Android Smartphone, iPod/iPhone Control und variabler Tastenbeleuchtung	
1947604 MEX-N 5100 BT	331;1172	ACTIVE	"Das Sony MEX-N5100BT ist die perfekte Lösung für alle die perfekte Konnektivität zu Ihrem Smartphone suchen. Einfache Smartphone Anbindung dank NFC One Touch Connection. Bluetooth ermöglicht Musikstreaming sowie Telefonate von ihrem Telefon über das Radio.Steuern Sie Ihre Smartphones Apps über das Radio dank Songpal Unterstützung, jetzt auch mit Sprachbefehlen.(HINWEIS für Songpal: iPhone Anschluss über USB-Kabel, Android-Smartphone über Bluetooth). Steuern Sie Ihr iPhone per Sprachbefehl mit Siri Eyes Free Unterstützung. Genießen Sie Hi-Res Sound dank FLAC Unterstützung. Im Lieferumfang befindet sich ein externes Mikrofon für verbesserte Sprachqualität beim Telefonieren.
"			Mittelklasse-Bluetooth Autoradio mit CD-Player, USB/Aux-Eingang, iPod Control und Songpal Unterstützung für iPhone und Android Smartphones sowie NFC One Touch Connection inkl. externen Mikrofon.	
1947606 MEX-N 6001 BD	331;1172	ACTIVE	Das Sony MEX-N6001BD ist das ultimative 1DIN Autoradio von Sony: Glasklarer Radio Empfang dank eingebauten DAB-Tuner. Einfache Smartphone Anbindung dank NFC One Touch Connection. Bluetooth ermöglicht Musikstreaming sowie Telefonate von ihrem Telefon über das Radio.Steuern Sie Ihre Smartphones Apps über das Radio dank App-Remote 2, jetzt auch mit Sprachbefehlen.(HINWEIS für App-Remote 2: iPhone Anschluss über USB-Kabel, Android-Smartphone über Bluetooth). Zusätzlich liegt ein externes Mikrofon im Lieferumfang bei.			"Bluetooth DAB+ Autoradio mit CD-Player, USB/Aux-Eingang, iPod Control, App Remote 2 für iPhone und Android Smartphones, NFC One Touch Connection, variabler Tastenbeleuchtung und externem Mikrofon
"	
1956440 KD-R 464 E	331;1172	ACTIVE				KD-R 464 E	
1956441 KD-R 864 BTE	1172;331	ACTIVE	Das Bluetoth-Modul des KD-R864BTE sorgt nicht nur für sichere Telefonate und hervorragende Verständigung während der Fahrt, es erlaubt auch die auf dem Smartphone gespeicherte Musik und „AAC“ über das Autoradio wiederzugeben. Die Sprachqualität der Freisprecheinrichtung wird durch das mitgelieferte, externen Mikrofons zusätzlich verbessert.	<body>Das Bluetoth-Modul des KD-R864BTE sorgt nicht nur für sichere Telefonate und hervorragende Verständigung während der Fahrt, es erlaubt auch die auf dem Smartphone gespeicherte Musik und „AAC“ über das Autoradio wiederzugeben. Die Sprachqualität der Freisprecheinrichtung wird durch das mitgelieferte, externen Mikrofons zusätzlich verbessert.</body>		Bluetooth-Autoradio mit Freisprecheinrichtung	
1957734 KDC 102 UR	331;1172;279	ACTIVE	"Der perfekte Spielpartner für Android-Smartphones: das Autoradio KDC-102UR unterstützt die AOA 2.0 Music Control

Fast 85 Prozent aller Smartphones arbeiten mit dem Android-Betriebssystem und lassen sich jetzt in Verbindung mit den neuen Kenwood CD-Receivern komfortabler und umfangreicher denn je als Zuspieler von digitalen Musikdaten einsetzen. Das hierfür verantwortliche Übertragungsprotokoll heißt AOA 2.0 („Android Open Accessory“) und ist Bestandteil des Android-OS ab Version 4.1. Es erlaubt dem KDC-102UR direkt auf die Mediendateien eines Android-Handys zuzugreifen. Damit nicht genug: Der Mediaplayer des Smartphones lässt sich sogar komfortabel über die Radiotastatur bedienen. Ob Play, Pause, Skip, nächster oder voriger Ordner, Suche nach Interpret, Album, Titel oder hinterlegten Metadaten – der KDC-102UR erlaubt praktisch die komplette Steuerung des Audioplayers. Hierzu muss das Smartphone über den USB-Port mit dem KDC-102UR verbunden sein und auf dem Telefon muss die kostenlose „Kenwood Music Play“-App installiert werden.



Des Weiteren bietet das neue Ken­wood-Radio alle wichtigen Austattungsmerkmale eines modernen CD-Receivers. Der CD-Spieler versteht sich auf Audio-CDs und CD-R/RWs mit MP3- und WMA-Daten, der Tuner empfängt UKW-, MW- und LW-Sender, von denen sich bis zu 24 speichern lassen. Für einen jederzeit optimalen Klang sorgen verschiedene elektronische Schaltungen: Bass Boost und Loudness gewährleisten einen vollen Sound auch bei geringer Lautstärke, die Equalizer EQ Pro, Preset EQ und Drive EQ ermöglichen vielfältige individuelle Klang­einstellungen und die Sound Reconstruction-Technologie poliert alle digitale Musikdaten auf klanglichen Hochglanz. Das Bedienteil lässt sich abnehmen, damit Langfinger keine Chance haben, und das LC-Display ist besonders hell und kontrastreich, damit es sich auch bei Sonnenschein gut ablesen lässt."	"<header>Der perfekte Spielpartner für Android-Smartphones: das Autoradio KDC-102UR unterstützt die AOA 2.0 Music Control</header>

<body>Fast 85 Prozent aller Smartphones arbeiten mit dem Android-Betriebssystem und lassen sich jetzt in Verbindung mit den neuen Kenwood CD-Receivern komfortabler und umfangreicher denn je als Zuspieler von digitalen Musikdaten einsetzen. Das hierfür verantwortliche Übertragungsprotokoll heißt AOA 2.0 („Android Open Accessory“) und ist Bestandteil des Android-OS ab Version 4.1. Es erlaubt dem KDC-102UR direkt auf die Mediendateien eines Android-Handys zuzugreifen. Damit nicht genug: Der Mediaplayer des Smartphones lässt sich sogar komfortabel über die Radiotastatur bedienen. Ob Play, Pause, Skip, nächster oder voriger Ordner, Suche nach Interpret, Album, Titel oder hinterlegten Metadaten – der KDC-102UR erlaubt praktisch die komplette Steuerung des Audioplayers. Hierzu muss das Smartphone über den USB-Port mit dem KDC-102UR verbunden sein und auf dem Telefon muss die kostenlose „Kenwood Music Play“-App installiert werden.</body>

<body>Des Weiteren bietet das neue Ken­wood-Radio alle wichtigen Austattungsmerkmale eines modernen CD-Receivers. Der CD-Spieler versteht sich auf Audio-CDs und CD-R/RWs mit MP3- und WMA-Daten, der Tuner empfängt UKW-, MW- und LW-Sender, von denen sich bis zu 24 speichern lassen. Für einen jederzeit optimalen Klang sorgen verschiedene elektronische Schaltungen: Bass Boost und Loudness gewährleisten einen vollen Sound auch bei geringer Lautstärke, die Equalizer EQ Pro, Preset EQ und Drive EQ ermöglichen vielfältige individuelle Klang­einstellungen und die Sound Reconstruction-Technologie poliert alle digitale Musikdaten auf klanglichen Hochglanz. Das Bedienteil lässt sich abnehmen, damit Langfinger keine Chance haben, und das LC-Display ist besonders hell und kontrastreich, damit es sich auch bei Sonnenschein gut ablesen lässt.</body>"		CD-Receiver mit frontseitigem USB/AUX-Eingang	
1978596 KW-V 51 BTE	1172;331	ACTIVE	Das Topmodell unter den JVC Moniceivern bietet perfekte Smartphone-Integration dank Bluetoothverbindung und HDMI/MHL-Anschluss. Hierüber können MHL-fähige Android-Handys sowie iPhones mit Lightning-Ausgang digital mit dem Moniceiver verbunden werden. Der KW-V51BTE zeigt dann ein exaktes Abbild des Handy-Displays in allerbester Digitalqualität. Und bei entsprechenden Android Smartphones ist sogar die komplette Steuerung des Handys über den Touchscreen des Moniceivers möglich. Hierzu muss lediglich die JVC Smartphone Control App auf dem Telefon installiert werden. So lassen sich relevante Smartphone Anwendungen wie z.B. Navigations-Apps komfortabel im Auto nutzen.			KW-V 51 BTE	
1991800 MEX-M 70 BT	331;1172	ACTIVE				Single DIN, Bluetooth, USB, NFC	
2012680 MVH 180 UB	331;1172	ACTIVE	Mehr Power für unterwegs. Holen Sie sich 4 x 50 Watt reiner MOSFET-Leistung und hervorragenden Klang ins Auto. Und wenn das nicht reicht, lässt sich über den Cinch-Ausgang an der Rückseite noch ein zusätzlicher Verstärker für weitere Lautsprecher oder ein Aktiv-Subwoofer anschließen.			Autoradio mit RDS, USB und Aux-Eingang, unterstützt FLAC-Dateien (1-DIN)	
2012681 MVH 180 UBG	331;1172	ACTIVE	Mehr Power für unterwegs. Holen Sie sich 4 x 50 Watt reiner MOSFET-Leistung und hervorragenden Klang ins Auto. Und wenn das nicht reicht, lässt sich über den Cinch-Ausgang an der Rückseite noch ein zusätzlicher Verstärker für weitere Lautsprecher oder ein Aktiv-Subwoofer anschließen.			Autoradio mit RDS, USB und Aux-Eingang, unterstützt FLAC-Dateien (1-DIN)	
2012687 MVH 280 DAB	331;1172	ACTIVE	Digitalradio einfach richtig gemacht. Der DAB+ Tuner des MVH-270DAB ermöglicht Ihnen, Digitalradio in kristallklarer Klangqualität sowie ohne Störungen und lästige Unterbrechungen zu genießen. Sie wollen noch mehr? Dann schließen Sie einfach Ihren iPod, Ihr iPhone, Ihr Android-Smartphone oder andere tragbare Abspielgeräte am Front-USB- oder am Front-Aux-Eingang an.			Autoradio mit DAB+ Tuner, USB, Aux-Eingang. Unterstützt iPod/iPhone Direktsteuerung (1-DIN)	
2012689 MVH-X 380 BT	331;1166;1172	ACTIVE	Mehr Bluetooth, mehr Musik. Das neue MVH-X380BT ist dank seiner geringen Einbautiefe leicht zu installieren und ist dafür geschaffen, Musik von Ihren Bluetooth-Geräten abzuspielen. Und noch mehr als das: Schließen Sie Ihren iPod, Ihr iPhone, Ihr Android-Smartphone oder einen USB-Stick über den Front-USB-Anschluss oder andere Abspielgeräte über den Front-Aux-Eingang an und genießen Sie Ihre Musiksammlungen über die Autolautsprecher.			Autoradio mit RDS, Bluetooth, USB, Aux-Eingang. Unterstützt MIXTRAX EZund iPod/iPhone Direktsteuerung (1-DIN)	
2012691 DEH 1800 UBG	331;1172	ACTIVE	Mit diesem benutzerfreundlichen CD-Tuner genießen Sie Ihre Musik nicht nur von CD und per UKW-Radio – über den beleuchteten Front-USB-Anschluss spielt er auch MP3-, WMA-, WAV-und sogar hochauflösende FLAC-Dateien ab und bietet für weitere tragbare Abspielgeräte einen Front-Aux-Anschluss. Genießen Sie Ihre Musik mit hervorragender Klangqualität und kraftvollen 4 x 50 Watt MOSFET-Power. Und wenn es noch etwas mehr sein soll– kein Problem: an den Cinch-Ausgang können Sie ganz einfach einen zusätzlichen Verstärker für weitere Lautsprecher oder einen Subwoofer anschließen. Dieser CD-Tuner bietet ein kontraststarkes weisses Display und eine grüne Tastenbeleuchtung.			CD-Tuner mit RDS, USB und Aux-Eingang. Unterstützt FLAC-Dateien (1-DIN)	
2012692 DEH 1800 UBB	331;1172	ACTIVE	Mit diesem benutzerfreundlichen CD-Tuner genießen Sie Ihre Musik nicht nur von CD und per UKW-Radio – über den beleuchteten Front-USB-Anschluss spielt er auch MP3-, WMA-, WAV-und sogar hochauflösende FLAC-Dateien ab und bietet für weitere tragbare Abspielgeräte einen Front-Aux-Anschluss. Genießen Sie Ihre Musik mit hervorragender Klangqualität und kraftvollen 4 x 50 Watt MOSFET-Power. Und wenn es noch etwas mehr sein soll– kein Problem: an den Cinch-Ausgang können Sie ganz einfach einen zusätzlichen Verstärker für weitere Lautsprecher oder einen Subwoofer anschließen. Dieser CD-Tuner bietet ein hervorragendes, blau beleuchtetes Display mit schwarzer Darstellung und eine rote Tastenbeleuchtung.			CD-Tuner mit RDS, USB und Aux-Eingang. Unterstützt FLAC-Dateien (1-DIN)	
2012695 DEH-X 3800 UI	331;1172	ACTIVE	Dieser CD-Tuner bietet ein kontraststarkes weisses Display und eine rote Tastenbeleuchtung.			CD-Tuner mit RDS, USB, Aux und Eingang für Navigation oder Freisprecheinrichtung. Unterstützt MIXTRAX EZ und iPod/iPhone Direktsteuerung (1-DIN)	
2012696 DEH-X 5800 BT	331;1172	ACTIVE	Sie wollen immer wieder zurück auf die Straße. Der DEH-X5800BT ist der ultimative Begleiter für unterwegs. Mit diesem CD-Tuner genießen Sie kristallklaren Klang und kraftvolle 4 x 50 W MOSFET-Leistung.			CD-Tuner mit Bluetooth, USB und Aux-Eingang. Unterstützt iPod/iPhone Direktsteuerung und separat erhältliche Adapter zur Ansteuerung fahrzeugspezifischer Displays (1-DIN)	
2017597 DEH 4800 BT	331;1172	ACTIVE	"Wie für Sie gemacht! Genießen Sie den hervorragenden Klang des integrierten Verstärkers mit satten 4 x 50 W MOSFET-Power. Wenn es noch etwas mehr sein soll, können Sie am Cinch-Ausgang problemlos einen weiteren Verstärker für zusätzliche Lautsprecher oder einen Subwoofer anschließen.

Bluetooth-Funktionalität:
- Parallelbetrieb von zwei Telefonen
- Freisprechen
- Wide Band Speech (HFP 1.6)
- Externes Mikrofon im Lieferumfang – kann unabhängig vom Radio an akustisch optimaler Position montiert werden
- Telefonbuchübertragung
- Liste gewählter Nummern, verpasster Anrufe und angenommener Anrufe
- Automatisches Standby bei abgeschaltetem Gerät
- Gastmodus ohne Registrierung

- Audio-Streaming (A2DP), AVRCP 1.5 (Browsing)
- iPhone-Sprachsteuerung"			CD-Tuner mit RDS, Bluetooth, USB und Aux-Eingang. Unterstützt iPod/iPhone-Direktsteuerung (1-DIN)	
2035900 DEH 4800 DAB	1172;331	ACTIVE	Der DAB+ Tuner des DEH-4800DAB ermöglicht Ihnen, Digitalradio in kristallklarer Klangqualität sowie ohne Störungen und lästige Unterbrechungen zu genießen. Sie wollen noch mehr? Dann schließen Sie einfach Ihren iPod, Ihr iPhone, Ihr Android-Smartphone oder andere tragbare Abspielgeräte am Front-USB- oder am Front-Aux-Eingang an. Dank iPod- & iPhone-Direktsteuerung können Sie Ihre Lieblingssongs in bester Klangqualität genießen, während Ihr mobiles Gerät gleichzeitig aufgeladen wird. Welchen Musikstil Sie auch bevorzugen. Falls Sie dennoch mehr Leistung oder mehr Bass wünschen, können Sie an den zwei Cinch-Ausgängen problemlos weitere Verstärker oder Subwoofer anschließen.			CD-Tuner mit DAB+ und RDS , USB und AUX Eingang. Unterstützt iPod/iPhone-Direktsteuerung, Android	
2056477 CZ 104 E CD/USB/MP3/WMA TUNER	1172;279	ACTIVE	"Einfach zu verstehendes Layout der Bedienblende
Die schwarzen Oberflächen verleihen dem Steuergerät ein einzigartiges Aussehen. Der große Lautstärke-Drehregler und die Bedientasten, die von der Mitte nach außen angeordnet sind, machen die Bedienung einfach. Genießen Sie in einfacher und stilvoller Weise eine Vielzahl von Quellen, einschließlich gekaufter und am PC gebrannter CDs, Musikdateien und Radiosender.

In-Car-Entertainment mit MP3- und WMA-Wiedergabe
Das Steuergerät unterstützt digitale MP3- und WMA-Audiodateien, einschließlich ID3-Tag-Kodierung zur Anzeige von Titelinformationen. MP3- und WMA-Dateien enthalten komprimierte Daten, sodass Sie auf einer CD-R oder CD-RW das Vielfache einer herkömmlichen Musik-CD speichern können.

USB-Eingang an der Vorderseite mit MP3-/WMA-Kompatibilität
Wie viele andere Benutzer kaufen vielleicht auch Sie Musik im Audiodateiformat oder erstellen Audiodateien von Ihren CDs. Über den USB-Eingang an der Gerätefront können Sie externe Geräte zur Wiedergabe von Audiodateien im MP3- und WMA-Format anschließen. So können Sie Ihre Lieblingsmusik einfach auf einem USB-Gerät speichern und im Fahrzeug genießen. Eine Staubkappe schützt den USB-Anschluss, wenn er nicht in Gebrauch ist.

Einfaches Anschließen externer Quellen über den AUX-Eingang an der Gerätefront
Möglicherweise haben Sie im Laufe der Zeit die verschiedensten Musikquellen angesammelt – vom neuesten Digitalgerät bis zum alten Analogplayer. Keine Sorge – sofern Ihr Gerät über einen AUX-Ausgang oder eine Kopfhörerbuchse verfügt, können Sie es über den AUX-Eingang direkt an der Frontblende des Steuergeräts anschließen und Ihre Medien auch unterwegs nutzen."	"<header>Einfach zu verstehendes Layout der Bedienblende</header>
<body>Die schwarzen Oberflächen verleihen dem Steuergerät ein einzigartiges Aussehen. Der große Lautstärke-Drehregler und die Bedientasten, die von der Mitte nach außen angeordnet sind, machen die Bedienung einfach. Genießen Sie in einfacher und stilvoller Weise eine Vielzahl von Quellen, einschließlich gekaufter und am PC gebrannter CDs, Musikdateien und Radiosender.</body>
<header></header>
<header>In-Car-Entertainment mit MP3- und WMA-Wiedergabe</header>
<body>Das Steuergerät unterstützt digitale MP3- und WMA-Audiodateien, einschließlich ID3-Tag-Kodierung zur Anzeige von Titelinformationen. MP3- und WMA-Dateien enthalten komprimierte Daten, sodass Sie auf einer CD-R oder CD-RW das Vielfache einer herkömmlichen Musik-CD speichern können.</body>

<header>USB-Eingang an der Vorderseite mit MP3-/WMA-Kompatibilität</header>
<body>Wie viele andere Benutzer kaufen vielleicht auch Sie Musik im Audiodateiformat oder erstellen Audiodateien von Ihren CDs. Über den USB-Eingang an der Gerätefront können Sie externe Geräte zur Wiedergabe von Audiodateien im MP3- und WMA-Format anschließen. So können Sie Ihre Lieblingsmusik einfach auf einem USB-Gerät speichern und im Fahrzeug genießen. Eine Staubkappe schützt den USB-Anschluss, wenn er nicht in Gebrauch ist.</body>

<header>Einfaches Anschließen externer Quellen über den AUX-Eingang an der Gerätefront</header>
<body>Möglicherweise haben Sie im Laufe der Zeit die verschiedensten Musikquellen angesammelt – vom neuesten Digitalgerät bis zum alten Analogplayer. Keine Sorge – sofern Ihr Gerät über einen AUX-Ausgang oder eine Kopfhörerbuchse verfügt, können Sie es über den AUX-Eingang direkt an der Frontblende des Steuergeräts anschließen und Ihre Medien auch unterwegs nutzen.</body>"		CZ 104 E CD/USB/MP3/WMA TUNER	
